chan,utime,isotime,source,heard,level,error,dti,name,symbol,latitude,longitude,speed,course,altitude,frequency,offset,tone,system,status,telemetry,comment
0,1737763236,2025-01-25T00:00:36Z,ON0ANT-10,ON0ANT-10,87(19/19),0,@,ON0ANT-10,/-,51.217167,4.419500,,,,,,,SQ3PLX http://microsat.com.pl/,,,"WX3in1Plus2.0 U=12.2V,T=??.?C/??.?F"
0,1737763237,2025-01-25T00:00:37Z,ON0ANT-10,PI1SHB,48(12/13),0,@,ON0ANT-10,/-,51.217167,4.419500,,,,,,,SQ3PLX http://microsat.com.pl/,,,"WX3in1Plus2.0 U=12.2V,T=??.?C/??.?F"
0,1737763237,2025-01-25T00:00:37Z,PI1SHB,PI1SHB,41(11/12),0,D,PI1SHB,/ ,,,,,,,,,,,,
0,1737763253,2025-01-25T00:00:53Z,PI1SHB,PI1SHB,46(11/12),0,},PI1SHB,/ ,,,,,,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,
0,1737763271,2025-01-25T00:01:11Z,PI1DFT-2,PI1SHB,41(12/12),0,@,PI1DFT-2,/#,51.995000,4.335833,,,,432.500,,,SQ3PLX http://microsat.com.pl/,,,PI1DFT.432.500 MHz Digi Delft
0,1737763276,2025-01-25T00:01:16Z,PD3V,PI1SHB?,48(12/12),0,`,PD3V,/-,51.601833,5.228333,0.0,,,,,,Mic-Emsg,In Service,,- QRV: Tom_1
0,1737763311,2025-01-25T00:01:51Z,PI1SHB,PI1SHB,43(12/12),0,},PI1SHB,/ ,,,,,,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,
0,1737763352,2025-01-25T00:02:32Z,PI1SHB,PI1SHB,49(12/14),0,T,PI1SHB,/ ,,,,,,,,,>40 APRSmax,,"Seq=885, Avg 10m=0.0710 Rx Erlang, Avg 10m=0.0180 Tx Erlang, RxPkts=53.0 count/10m, IGateDropRx=53.0 count/10m, TxPkts=14.0 count/10m, D1=0, D2=0, D3=0, D4=0, D5=0, D6=0, D7=0, D8=0",
0,1737763429,2025-01-25T00:03:49Z,PI6BLA,PI1SHB,46(12/12),0,@,PI6BLA,/-,51.363167,5.250000,,,,,,,SQ3PLX http://microsat.com.pl/,,,"digi.i-gate, LoRa Bladel "
0,1737763439,2025-01-25T00:03:59Z,PI1SHB,PI1SHB,48(11/12),0,;,PI4SHB,C-,51.694667,5.265500,,,,145.250,,,>40 APRSmax,,, VERON A25 's-Hertogenbosch
0,1737763485,2025-01-25T00:04:45Z,PI1SHB,PI1SHB,49(11/12),0,},PI1SHB,/ ,,,,,,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,
0,1737763495,2025-01-25T00:04:55Z,PI1SHB,PI1SHB,45(11/12),0,},PI1SHB,/ ,,,,,,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,
0,1737763515,2025-01-25T00:05:15Z,PI1SHB,PI1SHB,51(13/12),0,=,PI1SHB,/#,51.700333,5.346333,,,,,,,APRSISCE win32 version,,,/2m Digi/IGate 's-Hertogenbosch
0,1737763539,2025-01-25T00:05:39Z,ON0ANT-10,PI1SHB,62(12/13),0,@,ON0ANT-10,/-,51.217167,4.419500,,,,,,,SQ3PLX http://microsat.com.pl/,,,"WX3in1Plus2.0 U=12.2V,T=??.?C/??.?F"
0,1737763539,2025-01-25T00:05:39Z,PI1SHB,PI1SHB,43(12/11),0,D,PI1SHB,/ ,,,,,,,,,,,,
0,1737763551,2025-01-25T00:05:51Z,PI1DRV,PI1DRV,50(18/21),0,},PI1DRV,/ ,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1737763571,2025-01-25T00:06:11Z,PI1DFT-2,PI1SHB,50(12/12),0,@,PI1DFT-2,/#,51.995000,4.335833,,,,432.500,,,SQ3PLX http://microsat.com.pl/,,,PI1DFT.432.500 MHz Digi Delft
0,1737763637,2025-01-25T00:07:17Z,PI1SHB,PI1SHB,47(11/12),0,;,PI6SHB,/r,51.699667,5.347333,,,,1242.350,+2800,71.9,>40 APRSmax,,,0
0,1737763729,2025-01-25T00:08:49Z,PI6BLA,PI1SHB,44(11/11),0,@,PI6BLA,/-,51.363167,5.250000,,,,,,,SQ3PLX http://microsat.com.pl/,,,"digi.i-gate, LoRa Bladel "
0,1737763730,2025-01-25T00:08:50Z,PI6BLA,ON0ANT-10,76(19/17),0,@,PI6BLA,/-,51.363167,5.250000,,,,,,,SQ3PLX http://microsat.com.pl/,,,"digi.i-gate, LoRa Bladel "
0,1737763768,2025-01-25T00:09:28Z,PI1SHB,PI1SHB,46(12/12),0,!,PI1SHB,/#,51.700333,5.346333,,,,,,,>40 APRSmax,,,/Cross-Band Digi/IGate 's-Hertogenbosch
0,1737763773,2025-01-25T00:09:33Z,ON7DS,ON0ANT-10?,76(19/18),0,',ON7DS,/#,51.116667,4.472333,0.0,,,,,,Kenwood TM-D710,In Service,,APRS DIGIPEATER KONTICH
